Sample,Population
HG02628,African
HG02629,African
HG02630,African
HG02634,African
HG02635,African
HG02636,African
HG02642,African
HG02643,African
HG02644,African
HG02645,African
HG02646,African
HG02647,African
HG02648,South Asian
HG02649,South Asian
HG02650,South Asian
HG02651,South Asian
HG02652,South Asian
HG02653,South Asian
HG02654,South Asian
HG02655,South Asian
HG02656,South Asian
HG02657,South Asian
HG02658,South Asian
HG02659,South Asian
HG02660,South Asian
HG02661,South Asian
HG02662,South Asian
HG02666,African
HG02667,African
HG02668,African
HG02675,African
HG02676,African
HG02677,African
HG02678,African
HG02679,African
HG02680,African
HG02681,South Asian
HG02682,South Asian
HG02683,South Asian
HG02684,South Asian
HG02685,South Asian
HG02686,South Asian
HG02687,South Asian
HG02688,South Asian
HG02689,South Asian
HG02690,South Asian
HG02691,South Asian
HG02692,South Asian
HG02694,South Asian
HG02696,South Asian
HG02697,South Asian
HG02698,South Asian
HG02699,South Asian
HG02700,South Asian
HG02701,South Asian
HG02702,African
HG02703,African
HG02704,African
HG02715,African
HG02716,African
HG02717,African
HG02721,African
HG02722,African
HG02723,African
HG02724,South Asian
HG02725,South Asian
HG02726,South Asian
HG02727,South Asian
HG02728,South Asian
HG02729,South Asian
HG02731,South Asian
HG02733,South Asian
HG02734,South Asian
HG02735,South Asian
HG02736,South Asian
HG02737,South Asian
HG02738,South Asian
HG02756,African
HG02757,African
HG02758,African
HG02759,African
HG02760,African
HG02761,African
HG02762,African
HG02763,African
HG02764,African
HG02768,African
HG02769,African
HG02770,African
HG02771,African
HG02772,African
HG02773,African
HG02774,South Asian
HG02775,South Asian
HG02776,South Asian
HG02778,South Asian
HG02779,South Asian
HG02780,South Asian
HG02781,South Asian
HG02783,South Asian
HG02784,South Asian
HG02785,South Asian
HG02786,South Asian
HG02787,South Asian
HG02788,South Asian
HG02789,South Asian
HG02790,South Asian
HG02791,South Asian
HG02792,South Asian
HG02793,South Asian
HG02794,South Asian
HG02798,African
HG02799,African
HG02800,African
HG02804,African
HG02805,African
HG02806,African
HG02807,African
HG02808,African
HG02809,African
HG02810,African
HG02811,African
HG02812,African
HG02813,African
HG02814,African
HG02815,African
HG02816,African
HG02817,African
HG02818,African
HG02819,African
HG02820,African
HG02821,African
HG02836,African
HG02837,African
HG02838,African
HG02839,African
HG02840,African
HG02841,African
HG02851,African
HG02852,African
HG02853,African
HG02854,African
HG02855,African
HG02856,African
HG02860,African
HG02861,African
HG02862,African
HG02869,African
HG02870,African
HG02871,African
HG02878,African
HG02879,African
HG02880,African
HG02881,African
HG02882,African
HG02883,African
HG02884,African
HG02885,African
HG02886,African
HG02887,African
HG02888,African
HG02889,African
HG02890,African
HG02891,African
HG02892,African
HG02895,African
HG02896,African
HG02897,African
HG02922,African
HG02923,African
HG02924,African
HG02938,African
HG02939,African
HG02941,African
HG02942,African
HG02943,African
HG02944,African
HG02945,African
HG02946,African
HG02947,African
HG02948,African
HG02952,African
HG02953,African
HG02954,African
HG02964,African
HG02965,African
HG02966,African
HG02968,African
HG02969,African
HG02970,African
HG02971,African
HG02972,African
HG02973,African
HG02974,African
HG02975,African
HG02976,African
HG02977,African
HG02978,African
HG02979,African
HG02980,African
HG02981,African
HG02982,African
HG02983,African
HG02984,African
HG03006,South Asian
HG03007,South Asian
HG03008,South Asian
HG03009,South Asian
HG03012,South Asian
HG03015,South Asian
HG03016,South Asian
HG03017,South Asian
HG03018,South Asian
HG03019,South Asian
HG03021,South Asian
HG03022,South Asian
HG03023,South Asian
HG03024,African
HG03025,African
HG03026,African
HG03027,African
HG03028,African
HG03029,African
HG03033,African
HG03034,African
HG03035,African
HG03039,African
HG03040,African
HG03041,African
HG03045,African
HG03046,African
HG03047,African
HG03048,African
HG03049,African
HG03050,African
HG03052,African
HG03053,African
HG03054,African
HG03055,African
HG03056,African
HG03057,African
HG03058,African
HG03059,African
HG03060,African
HG03061,African
HG03062,African
HG03063,African
HG03064,African
HG03065,African
HG03066,African
HG03069,African
HG03072,African
HG03073,African
HG03074,African
HG03076,African
HG03077,African
HG03078,African
HG03079,African
HG03080,African
HG03081,African
HG03082,African
HG03084,African
HG03085,African
HG03086,African
HG03088,African
HG03091,African
HG03095,African
HG03096,African
HG03097,African
HG03098,African
HG03099,African
HG03100,African
HG03101,African
HG03103,African
HG03104,African
HG03105,African
HG03107,African
HG03108,African
HG03109,African
HG03110,African
HG03111,African
HG03112,African
HG03113,African
HG03114,African
HG03115,African
HG03116,African
HG03117,African
HG03118,African
HG03119,African
HG03120,African
HG03121,African
HG03122,African
HG03123,African
HG03124,African
HG03125,African
HG03126,African
HG03127,African
HG03128,African
HG03129,African
HG03130,African
HG03131,African
HG03132,African
HG03133,African
HG03134,African
HG03135,African
HG03136,African
HG03137,African
HG03139,African
HG03140,African
HG03157,African
HG03158,African
HG03159,African
HG03160,African
HG03161,African
HG03162,African
HG03163,African
HG03164,African
HG03166,African
HG03167,African
HG03168,African
HG03169,African
HG03170,African
HG03171,African
HG03172,African
HG03173,African
HG03175,African
HG03176,African
HG03189,African
HG03190,African
HG03191,African
HG03193,African
HG03194,African
HG03195,African
HG03196,African
HG03197,African
HG03198,African
HG03199,African
HG03200,African
HG03202,African
HG03203,African
HG03209,African
HG03212,African
HG03224,African
HG03225,African
HG03228,South Asian
HG03229,South Asian
HG03230,South Asian
HG03234,South Asian
HG03235,South Asian
HG03236,South Asian
HG03237,South Asian
HG03238,South Asian
HG03239,South Asian
HG03240,African
HG03241,African
HG03242,African
HG03246,African
HG03247,African
HG03248,African
HG03249,African
HG03250,African
HG03251,African
HG03258,African
HG03259,African
HG03260,African
HG03265,African
HG03266,African
HG03267,African
HG03268,African
HG03269,African
HG03270,African
HG03271,African
HG03272,African
HG03279,African
HG03280,African
HG03291,African
HG03293,African
HG03294,African
HG03295,African
HG03296,African
HG03297,African
HG03298,African
HG03299,African
HG03300,African
HG03301,African
HG03302,African
HG03303,African
HG03304,African
HG03305,African
HG03306,African
HG03307,African
HG03308,African
HG03309,African
HG03310,African
HG03311,African
HG03312,African
HG03313,African
HG03314,African
HG03339,African
HG03341,African
HG03342,African
HG03343,African
HG03344,African
HG03350,African
HG03351,African
HG03352,African
HG03354,African
HG03361,African
HG03362,African
HG03363,African
HG03365,African
HG03366,African
HG03367,African
HG03368,African
HG03369,African
HG03370,African
HG03371,African
HG03372,African
HG03373,African
HG03374,African
HG03376,African
HG03378,African
HG03380,African
HG03381,African
HG03382,African
HG03383,African
HG03384,African
HG03385,African
HG03388,African
HG03390,African
HG03391,African
HG03393,African
HG03394,African
HG03397,African
HG03398,African
HG03399,African
HG03401,African
HG03402,African
HG03408,African
HG03410,African
HG03411,African
HG03419,African
HG03428,African
HG03431,African
HG03432,African
HG03433,African
HG03436,African
HG03437,African
HG03438,African
HG03439,African
HG03442,African
HG03445,African
HG03446,African
HG03449,African
HG03450,African
HG03451,African
HG03452,African
HG03453,African
HG03454,African
HG03455,African
HG03456,African
HG03457,African
HG03458,African
HG03459,African
HG03460,African
HG03461,African
HG03462,African
HG03464,African
HG03465,African
HG03466,African
HG03468,African
HG03469,African
HG03470,African
HG03471,African
HG03472,African
HG03473,African
HG03474,African
HG03476,African
HG03477,African
HG03478,African
HG03479,African
HG03480,African
HG03484,African
HG03485,African
HG03486,African
HG03487,South Asian
HG03488,South Asian
HG03489,South Asian
HG03490,South Asian
HG03491,South Asian
HG03492,South Asian
HG03493,African
HG03499,African
HG03508,African
HG03510,African
HG03511,African
HG03513,African
HG03514,African
HG03515,African
HG03516,African
HG03517,African
HG03518,African
HG03519,African
HG03520,African
HG03521,African
HG03522,African
HG03538,African
HG03539,African
HG03540,African
HG03547,African
HG03548,African
HG03549,African
HG03556,African
HG03557,African
HG03558,African
HG03559,African
HG03563,African
HG03564,African
HG03565,African
HG03566,African
HG03567,African
HG03569,African
HG03571,African
HG03572,African
HG03574,African
HG03575,African
HG03576,African
HG03577,African
HG03578,African
HG03579,African
HG03582,African
HG03583,African
HG03584,African
HG03585,South Asian
HG03587,South Asian
HG03589,South Asian
HG03590,South Asian
HG03593,South Asian
HG03594,South Asian
HG03595,South Asian
HG03596,South Asian
HG03598,South Asian
HG03599,South Asian
HG03600,South Asian
HG03602,South Asian
HG03603,South Asian
HG03604,South Asian
HG03605,South Asian
HG03606,South Asian
HG03607,South Asian
HG03611,South Asian
HG03615,South Asian
HG03616,South Asian
HG03617,South Asian
HG03618,South Asian
HG03619,South Asian
HG03620,South Asian
HG03621,South Asian
HG03624,South Asian
HG03625,South Asian
HG03626,South Asian
HG03629,South Asian
HG03631,South Asian
HG03633,South Asian
HG03634,South Asian
HG03635,South Asian
HG03636,South Asian
HG03638,South Asian
HG03639,South Asian
HG03640,South Asian
HG03641,South Asian
HG03642,South Asian
HG03643,South Asian
HG03644,South Asian
HG03645,South Asian
HG03646,South Asian
HG03649,South Asian
HG03650,South Asian
HG03651,South Asian
HG03652,South Asian
HG03653,South Asian
HG03654,South Asian
HG03656,South Asian
HG03657,South Asian
HG03660,South Asian
HG03663,South Asian
HG03667,South Asian
HG03668,South Asian
HG03669,South Asian
HG03672,South Asian
HG03673,South Asian
HG03679,South Asian
HG03680,South Asian
HG03681,South Asian
HG03682,South Asian
HG03683,South Asian
HG03684,South Asian
HG03685,South Asian
HG03686,South Asian
HG03687,South Asian
HG03688,South Asian
HG03689,South Asian
HG03690,South Asian
HG03691,South Asian
HG03692,South Asian
HG03693,South Asian
HG03694,South Asian
HG03695,South Asian
HG03696,South Asian
HG03697,South Asian
HG03698,South Asian
HG03699,South Asian
HG03700,South Asian
HG03701,South Asian
HG03702,South Asian
HG03703,South Asian
HG03704,South Asian
HG03705,South Asian
HG03706,South Asian
HG03707,South Asian
HG03708,South Asian
HG03709,South Asian
HG03710,South Asian
HG03711,South Asian
HG03713,South Asian
HG03714,South Asian
HG03715,South Asian
HG03716,South Asian
HG03717,South Asian
HG03718,South Asian
HG03719,South Asian
HG03720,South Asian
HG03721,South Asian
HG03722,South Asian
HG03723,South Asian
HG03725,South Asian
HG03727,South Asian
HG03729,South Asian
HG03730,South Asian
HG03731,South Asian
HG03732,South Asian
HG03733,South Asian
HG03736,South Asian
HG03738,South Asian
HG03740,South Asian
HG03741,South Asian
HG03742,South Asian
HG03743,South Asian
HG03744,South Asian
HG03745,South Asian
HG03746,South Asian
HG03750,South Asian
HG03752,South Asian
HG03753,South Asian
HG03754,South Asian
HG03755,South Asian
HG03756,South Asian
HG03757,South Asian
HG03760,South Asian
HG03761,South Asian
HG03762,South Asian
HG03763,South Asian
HG03765,South Asian
HG03766,South Asian
HG03767,South Asian
HG03769,South Asian
HG03770,South Asian
HG03771,South Asian
HG03772,South Asian
HG03773,South Asian
HG03774,South Asian
HG03775,South Asian
HG03777,South Asian
HG03778,South Asian
HG03779,South Asian
HG03780,South Asian
HG03781,South Asian
HG03782,South Asian
HG03783,South Asian
HG03784,South Asian
HG03785,South Asian
HG03786,South Asian
HG03787,South Asian
HG03788,South Asian
HG03789,South Asian
HG03790,South Asian
HG03792,South Asian
HG03793,South Asian
HG03794,South Asian
HG03795,South Asian
HG03796,South Asian
HG03797,South Asian
HG03798,South Asian
HG03799,South Asian
HG03800,South Asian
HG03801,South Asian
HG03802,South Asian
HG03803,South Asian
HG03804,South Asian
HG03805,South Asian
HG03806,South Asian
HG03807,South Asian
HG03808,South Asian
HG03809,South Asian
HG03811,South Asian
HG03812,South Asian
HG03813,South Asian
HG03814,South Asian
HG03815,South Asian
HG03816,South Asian
HG03817,South Asian
HG03821,South Asian
HG03822,South Asian
HG03823,South Asian
HG03824,South Asian
HG03825,South Asian
HG03826,South Asian
HG03829,South Asian
HG03830,South Asian
HG03831,South Asian
HG03832,South Asian
HG03833,South Asian
HG03834,South Asian
HG03835,South Asian
HG03836,South Asian
HG03837,South Asian
HG03838,South Asian
HG03840,South Asian
HG03842,South Asian
HG03844,South Asian
HG03845,South Asian
HG03846,South Asian
HG03847,South Asian
HG03848,South Asian
HG03849,South Asian
HG03850,South Asian
HG03851,South Asian
HG03854,South Asian
HG03856,South Asian
HG03857,South Asian
HG03858,South Asian
HG03861,South Asian
HG03862,South Asian
HG03863,South Asian
HG03864,South Asian
HG03866,South Asian
HG03867,South Asian
HG03868,South Asian
HG03869,South Asian
HG03870,South Asian
HG03871,South Asian
HG03872,South Asian
HG03873,South Asian
HG03874,South Asian
HG03875,South Asian
HG03876,South Asian
HG03879,South Asian
HG03882,South Asian
HG03884,South Asian
HG03885,South Asian
HG03886,South Asian
HG03887,South Asian
HG03888,South Asian
HG03890,South Asian
HG03894,South Asian
HG03895,South Asian
HG03896,South Asian
HG03897,South Asian
HG03898,South Asian
HG03899,South Asian
HG03900,South Asian
HG03901,South Asian
HG03902,South Asian
HG03903,South Asian
HG03904,South Asian
HG03905,South Asian
HG03906,South Asian
HG03907,South Asian
HG03908,South Asian
HG03909,South Asian
HG03910,South Asian
HG03911,South Asian
HG03913,South Asian
HG03914,South Asian
HG03915,South Asian
HG03916,South Asian
HG03917,South Asian
HG03919,South Asian
HG03920,South Asian
HG03922,South Asian
HG03924,South Asian
HG03925,South Asian
HG03926,South Asian
HG03927,South Asian
HG03928,South Asian
HG03929,South Asian
HG03930,South Asian
HG03931,South Asian
HG03934,South Asian
HG03937,South Asian
HG03939,South Asian
HG03940,South Asian
HG03941,South Asian
HG03942,South Asian
HG03943,South Asian
HG03944,South Asian
HG03945,South Asian
HG03947,South Asian
HG03948,South Asian
HG03949,South Asian
HG03950,South Asian
HG03951,South Asian
HG03953,South Asian
HG03955,South Asian
HG03960,South Asian
HG03963,South Asian
HG03965,South Asian
HG03967,South Asian
HG03968,South Asian
HG03969,South Asian
HG03971,South Asian
HG03972,South Asian
HG03973,South Asian
HG03974,South Asian
HG03976,South Asian
HG03977,South Asian
HG03978,South Asian
HG03982,South Asian
HG03985,South Asian
HG03986,South Asian
HG03988,South Asian
HG03989,South Asian
HG03990,South Asian
HG03991,South Asian
HG03992,South Asian
HG03995,South Asian
HG03998,South Asian
HG03999,South Asian
HG04001,South Asian
HG04002,South Asian
HG04003,South Asian
HG04006,South Asian
HG04014,South Asian
HG04015,South Asian
HG04017,South Asian
HG04018,South Asian
HG04019,South Asian
HG04020,South Asian
HG04022,South Asian
HG04023,South Asian
HG04024,South Asian
HG04025,South Asian
HG04026,South Asian
HG04029,South Asian
HG04033,South Asian
HG04035,South Asian
HG04036,South Asian
HG04037,South Asian
HG04038,South Asian
HG04039,South Asian
HG04040,South Asian
HG04042,South Asian
HG04047,South Asian
HG04050,South Asian
HG04053,South Asian
HG04054,South Asian
HG04055,South Asian
HG04056,South Asian
HG04058,South Asian
HG04059,South Asian
HG04060,South Asian
HG04061,South Asian
HG04062,South Asian
HG04063,South Asian
HG04067,South Asian
HG04070,South Asian
HG04075,South Asian
HG04076,South Asian
HG04080,South Asian
HG04090,South Asian
HG04093,South Asian
HG04094,South Asian
HG04096,South Asian
HG04098,South Asian
HG04099,South Asian
HG04100,South Asian
HG04106,South Asian
HG04107,South Asian
HG04114,South Asian
HG04115,South Asian
HG04118,South Asian
HG04122,South Asian
HG04127,South Asian
HG04128,South Asian
HG04131,South Asian
HG04132,South Asian
HG04133,South Asian
HG04134,South Asian
HG04135,South Asian
HG04136,South Asian
HG04140,South Asian
HG04141,South Asian
HG04142,South Asian
HG04144,South Asian
HG04146,South Asian
HG04147,South Asian
HG04148,South Asian
HG04149,South Asian
HG04150,South Asian
HG04151,South Asian
HG04152,South Asian
HG04153,South Asian
HG04155,South Asian
HG04156,South Asian
HG04157,South Asian
HG04158,South Asian
HG04159,South Asian
HG04160,South Asian
HG04161,South Asian
HG04162,South Asian
HG04164,South Asian
HG04171,South Asian
HG04173,South Asian
HG04174,South Asian
HG04175,South Asian
HG04176,South Asian
HG04177,South Asian
HG04180,South Asian
HG04181,South Asian
HG04182,South Asian
HG04183,South Asian
HG04184,South Asian
HG04185,South Asian
HG04186,South Asian
HG04187,South Asian
HG04188,South Asian
HG04189,South Asian
HG04191,South Asian
HG04192,South Asian
HG04193,South Asian
HG04194,South Asian
HG04195,South Asian
HG04197,South Asian
HG04198,South Asian
HG04199,South Asian
HG04200,South Asian
HG04202,South Asian
HG04204,South Asian
HG04206,South Asian
HG04208,South Asian
HG04209,South Asian
HG04210,South Asian
HG04211,South Asian
HG04212,South Asian
HG04214,South Asian
HG04215,South Asian
HG04216,South Asian
HG04217,South Asian
HG04219,South Asian
HG04222,South Asian
HG04225,South Asian
HG04227,South Asian
HG04228,South Asian
HG04229,South Asian
HG04235,South Asian
HG04238,South Asian
HG04239,South Asian
HG04301,European
HG04302,European
HG04303,European
NA06984,European
NA06985,European
NA06986,European
NA06989,European
NA06991,European
NA06993,European
NA06994,European
NA06995,European
NA06997,European
NA07000,European
NA07014,European
NA07019,European
NA07022,European
NA07029,European
NA07031,European
NA07034,European
NA07037,European
NA07045,European
NA07048,European
NA07051,European
NA07055,European
NA07056,European
NA07340,European
NA07345,European
NA07346,European
NA07347,European
NA07348,European
NA07349,European
NA07357,European
NA07435,European
NA10830,European
NA10831,European
NA10835,European
NA10836,European
NA10837,European
NA10838,European
NA10839,European
NA10840,European
NA10842,European
NA10843,European
NA10845,European
NA10846,European
NA10847,European
NA10850,European
NA10851,European
NA10852,European
NA10853,European
NA10854,European
NA10855,European
NA10856,European
NA10857,European
NA10859,European
NA10860,European
NA10861,European
NA10863,European
NA10864,European
NA10865,European
NA11829,European
NA11830,European
NA11831,European
NA11832,European
NA11839,European
NA11840,European
NA11843,European
NA11881,European
NA11882,European
NA11891,European
NA11892,European
NA11893,European
NA11894,European
NA11917,European
NA11918,European
NA11919,European
NA11920,European
NA11930,European
NA11931,European
NA11932,European
NA11933,European
NA11992,European
NA11993,European
NA11994,European
NA11995,European
NA12003,European
NA12004,European
NA12005,European
NA12006,European
NA12043,European
NA12044,European
NA12045,European
NA12046,European
NA12056,European
NA12057,European
NA12058,European
NA12144,European
NA12145,European
NA12146,European
NA12154,European
NA12155,European
NA12156,European
NA12234,European
NA12239,European
NA12248,European
NA12249,European
NA12264,European
NA12272,European
NA12273,European
NA12274,European
NA12275,European
NA12282,European
NA12283,European
NA12286,European
NA12287,European
NA12329,European
NA12335,European
NA12336,European
NA12340,European
NA12341,European
NA12342,European
NA12343,European
NA12344,European
NA12347,European
NA12348,European
NA12375,European
NA12376,European
NA12383,European
NA12386,European
NA12399,European
NA12400,European
NA12413,European
NA12414,European
NA12485,European
NA12489,European
NA12546,European
NA12707,European
NA12708,European
NA12716,European
NA12717,European
NA12718,European
NA12739,European
NA12740,European
NA12748,European
NA12749,European
NA12750,European
NA12751,European
NA12752,European
NA12753,European
NA12760,European
NA12761,European
NA12762,European
NA12763,European
NA12766,European
NA12767,European
NA12775,European
NA12776,European
NA12777,European
NA12778,European
NA12801,European
NA12802,European
NA12812,European
NA12813,European
NA12814,European
NA12815,European
NA12817,European
NA12818,European
NA12827,European
NA12828,European
NA12829,European
NA12830,European
NA12832,European
NA12842,European
NA12843,European
NA12864,European
NA12865,European
NA12872,European
NA12873,European
NA12874,European
NA12875,European
NA12877,European
NA12878,European
NA12889,European
NA12890,European
NA12891,European
NA12892,European
NA18484,African
NA18485,African
NA18486,African
NA18487,African
NA18488,African
NA18489,African
NA18497,African
NA18498,African
NA18499,African
NA18500,African
NA18501,African
NA18502,African
NA18503,African
NA18504,African
NA18505,African
NA18506,African
NA18507,African
NA18508,African
NA18509,African
NA18510,African
NA18511,African
NA18515,African
NA18516,African
NA18517,African
NA18518,African
NA18519,African
NA18520,African
NA18521,African
NA18522,African
NA18523,African
NA18525,East Asian
NA18526,East Asian
NA18527,East Asian
NA18528,East Asian
NA18530,East Asian
NA18531,East Asian
NA18532,East Asian
NA18533,East Asian
NA18534,East Asian
NA18535,East Asian
NA18536,East Asian
NA18537,East Asian
NA18538,East Asian
NA18539,East Asian
NA18541,East Asian
NA18542,East Asian
NA18543,East Asian
NA18544,East Asian
NA18545,East Asian
NA18546,East Asian
NA18547,East Asian
NA18548,East Asian
NA18549,East Asian
NA18550,East Asian
NA18552,East Asian
NA18553,East Asian
NA18555,East Asian
NA18557,East Asian
NA18558,East Asian
NA18559,East Asian
NA18560,East Asian
NA18561,East Asian
NA18562,East Asian
NA18563,East Asian
NA18564,East Asian
NA18565,East Asian
NA18566,East Asian
NA18567,East Asian
NA18570,East Asian
NA18571,East Asian
NA18572,East Asian
NA18573,East Asian
NA18574,East Asian
NA18576,East Asian
NA18577,East Asian
NA18579,East Asian
NA18582,East Asian
NA18591,East Asian
NA18592,East Asian
NA18593,East Asian
NA18595,East Asian
NA18596,East Asian
NA18597,East Asian
NA18599,East Asian
NA18602,East Asian
NA18603,East Asian
NA18605,East Asian
NA18606,East Asian
NA18608,East Asian
NA18609,East Asian
NA18610,East Asian
NA18611,East Asian
NA18612,East Asian
NA18613,East Asian
NA18614,East Asian
NA18615,East Asian
NA18616,East Asian
NA18617,East Asian
NA18618,East Asian
NA18619,East Asian
NA18620,East Asian
NA18621,East Asian
NA18622,East Asian
NA18623,East Asian
NA18624,East Asian
NA18625,East Asian
NA18626,East Asian
NA18627,East Asian
NA18628,East Asian
NA18629,East Asian
NA18630,East Asian
NA18631,East Asian
NA18632,East Asian
NA18633,East Asian
NA18634,East Asian
NA18635,East Asian
NA18636,East Asian
NA18637,East Asian
NA18638,East Asian
NA18639,East Asian
NA18640,East Asian
NA18641,East Asian
NA18642,East Asian
NA18643,East Asian
NA18644,East Asian
NA18645,East Asian
NA18646,East Asian
NA18647,East Asian
NA18648,East Asian
NA18740,East Asian
NA18745,East Asian
NA18747,East Asian
NA18748,East Asian
NA18749,East Asian
NA18757,East Asian
NA18791,East Asian
NA18794,East Asian
NA18795,East Asian
NA18852,African
NA18853,African
NA18854,African
NA18855,African
NA18856,African
NA18857,African
NA18858,African
NA18859,African
NA18860,African
NA18861,African
NA18862,African
NA18863,African
NA18864,African
NA18865,African
NA18867,African
NA18868,African
NA18869,African
NA18870,African
NA18871,African
NA18872,African
NA18873,African
NA18874,African
NA18875,African
NA18876,African
NA18877,African
NA18878,African
NA18879,African
NA18881,African
NA18906,African
NA18907,African
NA18908,African
NA18909,African
NA18910,African
NA18911,African
NA18912,African
NA18913,African
NA18914,African
NA18915,African
NA18916,African
NA18917,African
NA18923,African
NA18924,African
NA18925,African
NA18930,African
NA18933,African
NA18934,African
NA18935,African
NA18939,East Asian
NA18940,East Asian
NA18941,East Asian
NA18942,East Asian
NA18943,East Asian
NA18944,East Asian
NA18945,East Asian
NA18946,East Asian
NA18947,East Asian
NA18948,East Asian
NA18949,East Asian
NA18950,East Asian
NA18951,East Asian
NA18952,East Asian
NA18953,East Asian
NA18954,East Asian
NA18955,East Asian
NA18956,East Asian
NA18957,East Asian
NA18959,East Asian
NA18960,East Asian
NA18961,East Asian
NA18962,East Asian
NA18963,East Asian
NA18964,East Asian
NA18965,East Asian
NA18966,East Asian
NA18967,East Asian
NA18968,East Asian
NA18969,East Asian
NA18970,East Asian
NA18971,East Asian
NA18972,East Asian
NA18973,East Asian
NA18974,East Asian
NA18975,East Asian
NA18976,East Asian
NA18977,East Asian
NA18978,East Asian
NA18979,East Asian
NA18980,East Asian
NA18981,East Asian
NA18982,East Asian
NA18983,East Asian
NA18984,East Asian
NA18985,East Asian
NA18986,East Asian
NA18987,East Asian
NA18988,East Asian
NA18989,East Asian
NA18990,East Asian
NA18991,East Asian
NA18992,East Asian
NA18993,East Asian
NA18994,East Asian
NA18995,East Asian
NA18997,East Asian
NA18998,East Asian
NA18999,East Asian
NA19000,East Asian
NA19001,East Asian
NA19002,East Asian
NA19003,East Asian
NA19004,East Asian
NA19005,East Asian
NA19006,East Asian
NA19007,East Asian
NA19009,East Asian
NA19010,East Asian
NA19011,East Asian
NA19012,East Asian
NA19017,African
NA19019,African
NA19020,African
NA19023,African
NA19024,African
NA19025,African
NA19026,African
NA19027,African
NA19028,African
NA19030,African
NA19031,African
NA19035,African
NA19036,African
NA19037,African
NA19038,African
NA19041,African
NA19042,African
NA19043,African
NA19044,African
NA19046,African
NA19054,East Asian
NA19055,East Asian
NA19056,East Asian
NA19057,East Asian
NA19058,East Asian
NA19059,East Asian
NA19060,East Asian
NA19062,East Asian
NA19063,East Asian
NA19064,East Asian
NA19065,East Asian
NA19066,East Asian
NA19067,East Asian
NA19068,East Asian
NA19070,East Asian
NA19072,East Asian
NA19074,East Asian
NA19075,East Asian
NA19076,East Asian
NA19077,East Asian
NA19078,East Asian
NA19079,East Asian
NA19080,East Asian
NA19081,East Asian
NA19082,East Asian
NA19083,East Asian
NA19084,East Asian
NA19085,East Asian
NA19086,East Asian
NA19087,East Asian
NA19088,East Asian
NA19089,East Asian
NA19090,East Asian
NA19091,East Asian
NA19092,African
NA19093,African
NA19094,African
NA19095,African
NA19096,African
NA19097,African
NA19098,African
NA19099,African
NA19100,African
NA19101,African
NA19102,African
NA19103,African
NA19104,African
NA19105,African
NA19107,African
NA19108,African
NA19109,African
NA19113,African
NA19114,African
NA19115,African
NA19116,African
NA19117,African
NA19118,African
NA19119,African
NA19120,African
NA19121,African
NA19122,African
NA19123,African
NA19127,African
NA19128,African
NA19129,African
NA19130,African
NA19131,African
NA19132,African
NA19137,African
NA19138,African
NA19139,African
NA19140,African
NA19141,African
NA19142,African
NA19143,African
NA19144,African
NA19145,African
NA19146,African
NA19147,African
NA19148,African
NA19149,African
NA19150,African
NA19151,African
NA19152,African
NA19153,African
NA19154,African
NA19159,African
NA19160,African
NA19161,African
NA19166,African
NA19171,African
NA19172,African
NA19173,African
NA19174,African
NA19175,African
NA19176,African
NA19177,African
NA19184,African
NA19185,African
NA19186,African
NA19189,African
NA19190,African
NA19191,African
NA19195,African
NA19196,African
NA19197,African
NA19198,African
NA19199,African
NA19200,African
NA19201,African
NA19202,African
NA19203,African
NA19204,African
NA19205,African
NA19206,African
NA19207,African
NA19208,African
NA19209,African
NA19210,African
NA19211,African
NA19213,African
NA19214,African
NA19215,African
NA19221,African
NA19222,African
NA19223,African
NA19224,African
NA19225,African
NA19226,African
NA19235,African
NA19236,African
NA19237,African
NA19238,African
NA19239,African
NA19240,African
NA19247,African
NA19248,African
NA19249,African
NA19252,African
NA19254,African
NA19256,African
NA19257,African
NA19258,African
NA19307,African
NA19308,African
NA19309,African
NA19310,African
NA19311,African
NA19312,African
NA19313,African
NA19314,African
NA19315,African
NA19316,African
NA19317,African
NA19318,African
NA19319,African
NA19320,African
NA19321,African
NA19323,African
NA19324,African
NA19327,African
NA19328,African
NA19331,African
NA19332,African
NA19334,African
NA19338,African
NA19346,African
NA19347,African
NA19350,African
NA19351,African
NA19352,African
NA19355,African
NA19359,African
NA19360,African
NA19371,African
NA19372,African
NA19373,African
NA19374,African
NA19375,African
NA19376,African
NA19377,African
NA19378,African
NA19379,African
NA19380,African
NA19381,African
NA19382,African
NA19383,African
NA19384,African
NA19385,African
NA19390,African
NA19391,African
NA19393,African
NA19394,African
NA19395,African
NA19396,African
NA19397,African
NA19398,African
NA19399,African
NA19401,African
NA19403,African
NA19404,African
NA19428,African
NA19429,African
NA19430,African
NA19431,African
NA19432,African
NA19434,African
NA19435,African
NA19436,African
NA19437,African
NA19438,African
NA19439,African
NA19440,African
NA19443,African
NA19444,African
NA19445,African
NA19446,African
NA19448,African
NA19449,African
NA19451,African
NA19452,African
NA19453,African
NA19454,African
NA19455,African
NA19456,African
NA19457,African
NA19461,African
NA19462,African
NA19463,African
NA19466,African
NA19467,African
NA19468,African
NA19469,African
NA19470,African
NA19471,African
NA19472,African
NA19473,African
NA19474,African
NA19475,African
NA19625,African
NA19648,Ad Mixed American
NA19649,Ad Mixed American
NA19650,Ad Mixed American
NA19651,Ad Mixed American
NA19652,Ad Mixed American
NA19653,Ad Mixed American
